,name,Component,price,type,form_factor,speed,modules,price_per_gb,color,first_word_latency,cas_latency,capacity,cache,interface,mode,max_memory,channels,digital_audio,snr,sample_rate,chipset,Unnamed: 0,bd,dvd,cd,bd_write,dvd_write,cd_write,rpm,noise_level,size,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio,tracking_method,connection_type,max_dpi,hand_orientation,capacity_w,capacity_va,efficiency,wattage,modular,airflow,pwm,channel_wattage,configuration,frequency_response,amount,socket,memory_slots,core_count,core_clock,boost_clock,tdp,graphics,smt,microphone,wireless,enclosure_type,style,switches,backlit,tenkeyless,protocol,psu,side_panel,external_volume,internal_35_bays,memory,length,resolutions,connection,focus_type,os,fov
2,NZXT Hue,case-accessory,29.95,LED Controller,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Vantec UGT-CR935,case-accessory,35.15,Card Reader,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Corsair Vengeance LPX 16 GB,memory,45.99,,,"4,3200","2,8",2.874,Black / Yellow,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Corsair Vengeance 32 GB,memory,117.99,,,"5,5600","2,16",3.687,Black,12.857,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,G.Skill Trident Z5 RGB 32 GB,memory,117.99,,,"5,6000","2,16",3.687,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Corsair Vengeance RGB Pro 32 GB,memory,97.99,,,"4,3600","2,16",3.062,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,G.Skill Trident Z5 RGB 64 GB,memory,217.99,,,"5,6400","2,32",3.406,Black / Silver,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Corsair Vengeance LPX 32 GB,memory,81.99,,,"4,3600","2,16",2.562,Black / Yellow,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Corsair Vengeance RGB 32 GB,memory,127.99,,,"5,6000","2,16",4.0,White,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TEAMGROUP T-Force Delta RGB 32 GB,memory,106.99,,,"5,6000","2,16",3.343,White,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Corsair Vengeance 32 GB,memory,114.99,,,"5,6000","2,16",3.593,Black / Gray,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,G.Skill Flare X5 32 GB,memory,106.99,,,"5,6000","2,16",3.343,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Corsair Vengeance RGB Pro 16 GB,memory,54.99,,,"4,3200","2,8",3.437,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TEAMGROUP T-Force Delta RGB 32 GB,memory,106.99,,,"5,6000","2,16",3.343,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Corsair Vengeance 16 GB,memory,68.98,,,"5,5200","2,8",4.311,Black,15.385,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Silicon Power GAMING 16 GB,memory,34.97,,,"4,3200","2,8",2.186,Black / Gray,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Corsair Vengeance RGB 32 GB,memory,134.99,,,"5,6000","2,16",4.218,Black,13.333,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,G.Skill Trident Z5 Neo RGB 32 GB,memory,112.99,,,"5,6000","2,16",3.531,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Corsair Vengeance LPX 16 GB,memory,40.99,,,"4,3600","2,8",2.562,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,G.Skill Ripjaws S5 32 GB,memory,109.43,,,"5,6000","2,16",3.42,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Corsair Vengeance 64 GB,memory,169.99,,,"5,5200","2,32",2.656,Black,15.385,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,G.Skill Ripjaws V 16 GB,memory,39.99,,,"4,3200","2,8",2.499,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
